,match,BowlingTeam,bowling_pos,bowlerName,O,M,R,W,ECON,0s,4s,6s,WD,NB
9326,Royal Challengers Bangalore vs Kings XI Punjab,Kings XI Punjab,4,Ravi Bishnoi,3,0,29,0,9.66,6,1,2,2,0
9327,Royal Challengers Bangalore vs Kings XI Punjab,Kings XI Punjab,5,Murugan Ashwin,4,0,23,2,5.75,7,1,0,0,0
9328,Royal Challengers Bangalore vs Kings XI Punjab,Kings XI Punjab,6,Chris Jordan,3,0,20,1,6.66,5,0,1,2,0
9329,Royal Challengers Bangalore vs Kings XI Punjab,Royal Challengers Bangalore,1,Chris Morris,4,0,22,0,5.50,12,0,1,3,0
9330,Royal Challengers Bangalore vs Kings XI Punjab,Royal Challengers Bangalore,2,Navdeep Saini,4,0,21,0,5.25,14,2,1,0,0
9331,Royal Challengers Bangalore vs Kings XI Punjab,Royal Challengers Bangalore,3,Yuzvendra Chahal,3,0,35,1,11.66,8,2,3,1,0
9332,Royal Challengers Bangalore vs Kings XI Punjab,Royal Challengers Bangalore,4,Isuru Udana,2,0,14,0,7.00,4,0,1,1,0
9333,Royal Challengers Bangalore vs Kings XI Punjab,Royal Challengers Bangalore,5,Mohammed Siraj,3,0,44,0,14.66,2,2,4,1,0
9334,Royal Challengers Bangalore vs Kings XI Punjab,Royal Challengers Bangalore,6,Washington Sundar,4,0,38,0,9.50,6,0,4,0,0
9335,Kolkata Knight Riders vs Mumbai Indians,Mumbai Indians,1,Trent Boult,4,0,32,1,8.00,10,4,1,1,0
9336,Kolkata Knight Riders vs Mumbai Indians,Mumbai Indians,2,Nathan Coulter-Nile,4,0,51,1,12.75,8,5,3,3,0
9337,Kolkata Knight Riders vs Mumbai Indians,Mumbai Indians,3,Jasprit Bumrah,4,0,22,1,5.50,12,2,0,1,0
9338,Kolkata Knight Riders vs Mumbai Indians,Mumbai Indians,4,Krunal Pandya,4,0,23,0,5.75,11,1,1,0,0
9339,Kolkata Knight Riders vs Mumbai Indians,Mumbai Indians,5,Rahul Chahar,4,0,18,2,4.50,13,1,0,0,0
9340,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,1,Chris Green,2.5,0,24,0,8.47,6,4,0,0,0
9341,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,2,Pat Cummins,3,0,28,0,9.33,10,5,1,0,0
9342,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,3,Prasidh Krishna,2,0,30,0,15.00,2,5,1,0,0
9343,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,4,Andre Russell,2,0,15,0,7.50,5,1,1,0,0
9344,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,5,Varun Chakravarthy,4,0,23,1,5.75,10,0,1,0,0
9345,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,6,Shivam Mavi,3,0,24,1,8.00,9,3,1,0,0
9346,Rajasthan Royals vs Royal Challengers Bangalore,Royal Challengers Bangalore,1,Washington Sundar,3,0,25,0,8.33,7,4,0,0,0
9347,Rajasthan Royals vs Royal Challengers Bangalore,Royal Challengers Bangalore,2,Chris Morris,4,0,26,4,6.50,12,1,1,4,0
